Strategy,Label
Zeitmanagement neu einteilen,-1
den Kollegen konfrontieren,-1
an anderen Sachen zuerst weiterarbeiten,8
mit anderen Kollegen reden,-1
mit dem Chef Problem besprechen,-1
Information selbst beschaffen,30
"dem Kollegen mitteilen, dass ich verärgert bin",-1
"versuchen den Zeitplan umzustellen, um die Aufgabe noch zu retten",30
"konstruktives Gespräch mit dem Kollegen, um zukünftiges Zusammenarbeit zu verbessern",-1
in mein Tagebuch schreiben,-1
zum Kickboxen gehen,-1
mit einer Freundin reden und den Ärger verarbeiten,-1
"den Ärger akzeptieren, um ihn möglichst schnell loslassen zu können",-1
ich bitte den Chef um mehr Zeit,-1
mache einen neuen Zeitplan,26
beschwere mich beim Kollegen,32
"ich bitte den Kollegen, das nächste Mal pünktlich zu sein",-1
arbeite dafür schneller,-1
arbeite mehr auch zuhause,-1
beschwere mich beim Chef,32
lästere bei anderen Kollegen über ihn,-1
stelle ihn zur Rede warum er so lange gebraucht hat,-1
versuche zu verstehen warum er nicht rechtzeitig war,-1
werde Vorgesetzten erklären warum ich Zeitplan nicht einhalten konnte,-1
konzentriere mich darauf Arbeit so schnell wie möglich fertig zu bekommen,-1
"dem Kollegen mitteilen, dass man verärgert ist",-1
"den Chef darüber informieren, dass man nichts dafür kann",33
selbst nach der benötigten Information suchen,30
Kollegen gut zureden und unterstützen,-1
Kollegen bitten sich beim nächsten Mal an den Zeitplan zu halten,30
Mit einem Freund ausserhalb darüber sprechen,28
"Ich bitte ihn, mir beim nächsten Mal schneller Informationen zukommen zu lassen",-1
Ich beschaffe mir die Information selbst,30
Ich arbeite nicht mehr mit meinem Kollegen zusammen,-1
"Ich versuche, mich von dem Zeitplan nicht mehr unter Druck setzen zu lassen und entspanne mich.",-1
"Ich frage meinen Kollegen, was der Grund für die Verspätung ist und ob ich ihm helfen kann.",-1
Unterstützung anbieten,21
selbst nach der Information suchen,30
fragen woran es gescheitert ist,-1
meinen Zeitplan anpassen,26
Meditieren,-1
Auf Umgang mit der aktuellen Problemstellung einstellen/fokussieren,-1
Verhaltens-(NICHT Persönlichkeits-)kritik in einem Gespräch äussern,-1
Die Situation beim nächsten Mal in die Wahrsch. mit einbeziehen,-1
Ablenken/Auszeit nehmen je nach Dringlichkeit,4
Ich versuche die Aufgabe selber zu lösen,-1
Ich werde nicht mehr mit ihm zusammenarbeiten,-1
"Ich rede mit ihm & verdeutliche ihm, dass er es so schnellst wie möglich machen soll",-1
Ich werde dem Chef darüber berichten & ihm mitteilen dass die Aufgabe verspätet eintreten wird,34
"Ich bitte ihn, seinen Zeitplan umzustrukturieren",26
"Ich übernehme seine Aufgabe, ein anders mal erwarte ich das v. ihm.",-1
Wir versuchen gemeinsam eine geeignete Lösung zu finden,-1
Er ladet mich dafür auf ein Essen ein,-1
Ich versuche mich zu entspannen und abzuschalten.,5
Ich finde die Gründe für das Verhalten meines Kollegen heraus.,-1
Ich kläre meinen Kollegen über meinen Ärger auf,31
"Ich mache das Beste aus der Situation un bemühe mich, noch alles zu schaffen",23
"Ich sehe die Situation als eine Challenge, ob ich nun eigenständig alles noch rechtzeitig schaffe",23
Ich lenke mit ab,4
"Mit ihm weiteres Vorgehen ausmachen, damit es un Zukunft klappt",-1
"Andere informieren, dass sich alles etwas verzögern wird",-1
"Tief durchatmen, Augen schließen",5
Versuchen ruhig zu bleiben,-1
"Andere Kollegen bitten, Aufgabe zu übernehmen",-1
Andere Termine absagen,14
Delegieren,-1
Mit anderen Aufgaben zuerst beginnen,-1
Pause vorverlegen um Leerlauf zu vermeiden,-1
Mich aus Situation herausnehmen,-1
Kontakt mit Kollegen: Ärger kommunizieren,-1
Ärger runterschlucken & Lösung alleine finden,-1
Ärger kommunizieren & mit Kollegen Lösung finden,-1
Chefin anrufen & sich über Kollegen beschweren,32
Ärger ignorieren & weitermachen,-1
Job kündigen,17
Serien schauen & krankschreiben,4
Spaziergang in der Natur,-1
Meditation,-1
Ich besorg mir die Informationen selbst,30
Ich sprech ihn drauf an,-1
Sagen das er sich mehr anstrengen soll,24
Ich bitte meinem Arbeitgeber um mehr Zeit,-1
Ich helfe meinem Kollegen bei seiner Aufgabe,-1
Ich werte die Wichtigkeit seiner Aufgabe ab,-1
Ich versuche meine Aufgabe ohne seine Informationen fertig zu machen,-1
Ich versuche die Info selbst zu besorgen,30
Ich verschiebe Termine,19
"Ich frage, was schief gelaufen ist.",-1
Ich biete meine Hilfe an.,21
Ich mache eine kurze Kaffeepause,-1
"Ich frage einen anderen Kollegen, ob er helfen kann.",21
Ich mache einen kurzen Spaziergang.,-1
Ich versuche ohne die Info weiterzuarbeiten.,-1
Ich mache eine Pause und hole mir ein warmes Getränk,-1
"Ich rufe mir in Erinnerung, dass ich selbst auch Fehler mache",33
"Ich biete ihm Hilfe an, damit er möglichst bald die Infos für mich hat",-1
Ich lenke mich mit anderer Arbeit ab.,4
"Ich sage ihm, dass sein Handeln mir Probleme verursacht",-1
"Ich fordere ihn auf, mir einen Drink zu spendieren, sobald wir beide fertig sind",-1
Ich beschwere mich bei meinem Chef,32
"Ich sage ihm, dass sich sein Verhalten auf mich auswirkt",-1
Ich rege mich bei anderen Kollegen auf,-1
Ich helfe ihm die Aufgabe rechtzeitig fertig zu bekommen,-1
Ich ärgere mich und rede nicht mehr mit ihm,-1
Ich möchte einen Kollegentausch,17
Ich rede nicht mehr mit ihm,-1
Ich frage nach dem Grund,-1
"Ich sage meinem Kollegen, dass es eilt",35
Gebe dem Chef bescheid,-1
Gehe zum Sport,-1
Unternehme etwas mit Freunden,-1
Erzähle alles einem/einer Freund/Freundin,29
Warte einfach ab,-1
ich distanziere mich von dem Kollegen,-1
ich werde mich nicht mehr auf ihn verlassen,-1
"ich arbeite die ganze Nacht durch, um meinen Zeitplan einzuhalten",-1
"ich konfrontiere ihn damit, dass ich verärgert bin",-1
"ich fordere ihn auch mir zu helfen, damit ich meinen Zeitplan einhalten kann",-1
ich werde diesen Kollegen zukünftig nicht mehr helfen,-1
"Erst einmal eine Runde spazieren/joggen/skaten gehen, sodass der erste Ärger sich ein wenig legt.",-1
"Mit meinem Kollegen über die Situation reden; fragen, weshalb er den Zeitplan nicht einhalten konnte.",-1
Bei Bedarf meinem Vorgesetzten die Situation schildern (und im Ernstfall),-1
"Ich sag was ich denke und bitte ihn darum früher anzufangen, damit wir beide es schaffen können.",-1
"Ich sage ihm wenn er es nicht schafft soll er sich das nächste mal melden, damit wir zusammen schauen können, wie wirs schaffen",-1
selbst nach wichtiger Information suchen,30
andere fällige Aufgaben vorher lösen,-1
Kollegen kontaktieren und Informationsbeschaffungsproblem zusammen ausarbeiten,-1
"Person, bei der man Arbeit abgeben muss kontaktieren und Situation schildern",-1
Atemübungen gegen den Ärger,-1
dem Kollegen Hilfe anbieten (sofern das möglich ist),-1
vielleicht kann ein anderer Kollege die Information bereitstellen?,-1
Meinen Zeitplan bearbeiten,26
überlegen wie möglichst zeiteffizient nach Erhalt der Info arbeiten kann,-1
mir sagen dass es nicht meine Schuld ist,33
beruhigende Musik hören,4
derweil was anderes machen,8
"Mit dem Kollegen reden, den Kollegen verstehen",-1
Ich beschaffe mir die Information selbst.,30
Plane im Vorhinein genug Zeit ein um soetwas zu vermeiden.,-1
Frage Chef ob man es etw. später abgeben kann.,-1
Achte darauf in Zukunft nicht mehr von so etwas abhängig zu sein.,-1
Den Fehler mit ihr durchgehen und ihr erklären,-1
"Ihr sagen, dass es beim nächsten Mal sicher klappt.",-1
"Sie fragen, warum es so weit gekommen ist.",-1
"Fragen, ob sie andere Probleme hat.",-1
"Anbieten, es das nächste Mal gemeinsam zu machen.",-1
ich spreche mit ihm darüber,28
ich mache etwas stattdessen was mit auch weiterbringt,-1
ich lasse meinen Frust im Sport aus,31
ich spreche mit jemanden anderen darüber,28
"ich gebe meinem Vorgesetzten darüber bescheid, dass ich nicht rechtzeitig fertig werde",-1
Kollegen unter die Arme greifen,21
Projektmanager/Chef melden,-1
fragen warum nicht rechtzeitig fertig,-1
länger Arbeiten um Verspätung nachzuholen,-1
"Kollegen darauf hinweisen, dass er nicht rechtzeitig fertig ist",-1
eine Person zusätzlich als Hilfe einstellen,-1
Aufteilung der Aufgaben neu planen,-1
Ich bitte ihn mir vorher bescheidzusagen,-1
Nach dem Grund fragen,-1
Ablenken,-1
Zeitplan anpassen,-1
In seine Lage versetzen,-1
selbst nachfragen,21
entspannte Musik hören,4
darüber reden,27
Mich von der Situation komplett ablenken,4
Tief ein- und ausatmen,-1
Ich versuche selbst an die Information zu kommen,30
"Ich versuche mir bewusst zu machen, dass alles gut werden wird",33
"Ich versuche mir vorzustellen, dass er es gute Gründe dafür gibt.",33
Ich versuche die Zeit anders sinnvoll zu nutzen,8
"den Ärger verdrängen, stattdessen auf möglichst produktive Arbeit konzentrieren (Schadensbegrenzung)",-1
Eine Aussprache mit dem Kollegen,36
Atem/Meditationsübung,5
Knetball (Aggression rauslassen),-1
Zuerst einmal Pause machen (z.B. Spaziergang im Park) ,5
Ich vergebe ihm,9
Ich verlass mich nicht mehr auf ihn und vergesse meinen Ärger,-1
"Ich bitte ihn, in Zukunft verlässlicher zu sein, 2. Chance",30
"Ich erkenne meine eigene Schuld, dass ich nicht genügend vorausgeplant habe",-1
"Ich sag ihm, wie sehr mich sein Fehler stört",-1
"Ich denke mir „ist halt so, kann man nichts machen.“",33
Ich strukturiere meinen Zeitplan um,-1
"Ich sage meinem Kollegen, dass es ok ist, dass er das nächste Mal aber besser arbeite soll",-1
Ich versuche die Info selbst woher zu bekommen,30
"Ich versuche irgendwas, dass es sich doch noch rechtzeitig ausgeht",-1
Ich spreche mit meinem Vorgesetzten über die Situation,35
Ich versuche mir die Information selbst zu beschaffen,30
"Ich spreche mit dem Kollegen über die Möglichkeit, ob er die Information doch irgendwie rechtzeitig beschaffen könnte",-1
"Ich helfe ihm, bei der Informationssuche",-1
"Ich setze ihn unter Druck, da es ja auch mich betrifft",-1
ich bitte ihm meine Hilfe an,21
"wenn er die Information rechtzeitig bekommt, lade ich ihn auf einen Kaffee ein",-1
wir teilen uns die Aufgabe (Telefonate),10
wir bitten zusätzlich um jemanden der uns hilft,-1
wir bitten um mehr Zeit,-1
Ich helfe ihr bei den Aufgaben,-1
Ich schlage vor zusammen zu arbeiten,-1
Ich mache Überstunden,-1
Zusammen zum Chef & erklären,35
Mich bei Freunden auslassen,-1
Kurz Pause machen & sammeln,5
Versuche es locker zu sehen,-1
In Zukunft versuche ich möglichst vorzuarbeiten,-1
Ich versuche selbst die Info zu bekommen,30
Dem Kollegen helfen.,-1
Den Zeitplan überarbeiten.,26
Den Chef bitten die Frist zu ändern.,-1
Bis die Information kommt andere Aufgaben erledigen.,-1
Einer Freundin davon erzählen.,-1
Den Kollegen unter Druck setzen.,-1
Früher Feierabend machen und sich einen gemütlichen Abend machen.,-1
"Einen anderen Kollegen fragen, ob der helfen kann.",21
"sie bitten, das nächste mal den Zeitplan einzuhalten",-1
nicht mehr mit dem Kollegen zusammenarbeiten,-1
tief durchatmen,-1
sich ablenken,-1
Kollegen um Hilfe bitten meinen Zeitplan ein zuhalten,-1
Kollegen anschreien,-1
Auf den Kollegen sauer sein,-1
Im mehr Zeit für die Bereitstellung geben,19
selbst die Info bereitstellen,-1
"I, helfen, dass er die Info schneller findet",-1
Einen neuen Partner fragen,-1
Mit dem Kollegen Kontakt abbrechen,-1
mir denken halb so schlimm,33
mich auf positive Aspekte konzentrieren die wir schon erledigt haben,-1
den Ärger vergessen und die freie Zeit geniessen,-1
Süssigkeiten essen,11
ein kurzer Spaziergang an der frischen Luft,-1
ein Telefonat mit der besten Freundin,10
einen Kinoabend planen,-1
Kopfdruckmassage,5
"Ich bitte ihn, dass er es das nächste mal besser macht",-1
Ich dränge ihn zur Abgabe,35
Ich helfe ihm bei der Aufgabe,-1
Ich mache meinen Teil soweit möglich fertig,-1
"ruhe bewahren, das beste draus machen",-1
Die Sache selbst in die Hand nehmen,-1
Ihm deinen Ärger und die Konsequenzen mitteilen,31
Ihn nächstes Mal rechtzeitig erinnern,-1
"Dir bewusst machen, dass jedem Fehler unterlaufen",-1
"Dir bewusst machen, dass du für die Verzögerung nichts kannst",33
"Vielleicht sind es externe Gründe, weshalb er den Zeitplan nicht einhalten konnte",-1
"Die bewusst machen, dass du es geschafft hättest",23
Ich bespreche das mit meinem Kollegen und versuche ihn meine Wichtigkeit mitzuteilen,-1
wegen ihr daraufhin wie es für ihn sein würde,-1
versuche auf Augenhöhe mit ihn zu reden,-1
"wenn die Situation sich häuft, werde ich Konsequenzen ziehen müssen",-1
"frage ihn, ob er eventuell viel Stress ausserhalb der Arbeit hat oder warum sein Verhalten so ist",-1
Ich versuch die Arbeit zu erledigen,-1
Ich rede mit meinem Kollegen darüber,-1
Ich lasse meiner Wut freien Lauf aber konzentriere mich dann auf die Fertigstellung,-1
um Dampf abzulassen rede ich mit Freunden,-1
ich bitte meinen Kollegen die Aufgabe schnell zu erledigen/die Infos zu bringen,-1
"ich biete meinem Kollegen an, dass mir gemeinsam alles machen um die Aufgabe fertigzustellen",-1
"kümmere mich selbst darum, ordne Termine neu",-1
Zigarette rauchen,-1
"sage ihm normal, dass es mich ärgert, > nächstes Mal besser machen",-1
Ich schreie ihn an,-1
gebe ihm die Schuld an allem was schiefgeht,-1
sage alle Termine ab (zu stressig) und fahre heim,17
"Rufe eine Freundin an, Frust ablassen",-1
Tief u. gleichmässig atmen,5
versuche die Information anderwärtig zu besorgen,30
mache noch einmal Druck,-1
versuche mich zu beruhigen,-1
erledige andere Dinge von meinem Zeitplan,8
fahre ohne die wichtige Information fort,-1
rufe meine beste Freundin an um meinen Frust loszuwerden,-1
warte einfach geduldig auf die Information,-1
kontaktiere meinen Kollegen so oft es geht ,10
Ihn darauf ansprechen,-1
Dem Chef die Situation erklären,-1
Strategien für Zukunft überlegen,19
Zeitplan neue Situation anpassen,26
Kompromiss finden mit dem Kollegen,-1
Versuchen die Information selbst bereitzustellen,30
Anderen Kollegen um Hilfe bitten,21
Mit Freunden/Familie über Ärger sprechen,-1
"Ich mach ihm klar das ich das so nicht will, hoffe auf Besserung",33
Ich ändere meinen Zeitplan (flexibel),-1
Ich helfe ihm mit der Information,-1
Ich mache es in Zukunft selbst,-1
Ich unterstütze meinen Kollegen um schneller an die Information zu gelangen.,-1
"Ich informiere meinen Arbeitgeber, um mehr Freizeit zu bekommen.",-1
Ich versuche andere Aufgaben zwischenzeitlich zu erledigen.,8
Den Kollegen anmotzen,-1
Es dem Chef erzählen,36
Bei anderen Kollegen lästern,-1
Die wichtige Information versuchen selber zu beschaffen,30
Schuld auf den Kollegen schieben,-1
"Dem Kollegen sagen, man würde in Zukunft nicht mehr mit ihm arbeiten wollen",-1
Meinen Zeitplan kürzen,26
Eine Entschuldigung erwarten,-1
Auf eine Entschädigung des Kollegen hoffen,-1
selber schneller und härter arbeiten,24
Dem Kollegen von der Enttäuschung berichten,-1
Ich frage ihn nach Gründen f. sein Verhalten,-1
Ich suche die Informationen selber raus,30
Ich kommuniziere mit unserem Vorgesetzten,-1
Ich rufe einen Freund an,10
Ich überdenke die Situation sachlich & objektiv,-1
Ich suche mit ihm gemeinsam die Info raus,30
Ich frage einen anderen Kollegen nach der Info,-1
Ich erzähle einem Freund davon,28
Ich versuche meinen Zeitplan zu optimieren,26
Ich lasse meinen Ärger für einige Minuten einfach zu,-1
"Ich kläre ab, ob die Info sich ersetzen lässt",-1
"Ich versuche zu verstehen, warum er die Info nicht rechtzeitig hatte",-1
Ich meditiere und suche danach eine Lösung,5
"Ich erinnere mich daran, dass dies kein Weltuntergang ist",-1
Ich beschäftige mich mich mit ablenkenden Themen ausserhalb d. Arbeit,4
Ich bitte andere Kollegen um Hilfe,21
Ich weise d. Kollegen auf d. Dringlichkeit hin,-1
Ich informier d. Chef darüber,35
Ich kümmere mich selbst um d. wichtige Information,-1
Ich spiele d. persönliche Wichtigkeit runter,-1
Ich beruhige mich und arbeite meinen Teil so gut wie möglich aus,-1
"Ich weise ihn darauf hin, damit es das nächste Mal nicht wieder passiert",-1
Ich kläre ihn auf und versuche die Zeit wieder aufzuholen,-1
"Ich überlege, ob ich ihm im Vorhinein den Zeitdruck eindeutig klargemacht habe",-1
Ich versuche zu verstehe warum es sich bei ihm nicht ausgegangen ist,-1
"Ich suche ein Gespräch mit ihm, damit kein Ärger zurückbleibt.",-1
ich rufe eine gute Freundin an und lasse Dampf ab,-1
"ich ziehe mich zurück, um nicht den Ärger bei ihm rauszulassen",-1
"ich entferne mich erstmal der Situation, bis sich meine Stimmung gebessert hat",-1
ich beruhige mich und rufe meinen Kollegen an (um ihn darauf anzusprechen),-1
ich spreche meinen Kollegen darauf an und versuche zu einer Lösung zu kommen,-1
"ich gehe laufen, Natur hilft immer!",-1
"ich frage meinen Kollegen, warum er die Info nicht bereit stellen konnte",-1
"erklären, dass der eigene Zeitplan darunter leidet",-1
Vorgesetzten melden bzw. Kollege tauschen,-1
Kollegen helfen Informationen schneller zu beschaffen,30
Mit dem Kollegen darüber sprechen,-1
Die Zeit sinnvoll für etwas anderes nutzen,8
Etwas tun um den Ärger hinauszulassen,31
"Mich bei einem guten Freund ausreden, quasi „beschweren“",32
Information selbst einholen,-1
Zeitplan anpassen,-1
in Zukunft möglichst verspätung einplanen,-1
Helfen Info bereitzustellen,-1
"Versuchen, trotz fehlerhafter Info weiter zu machen",-1
Kollegen fragen woran es lag,-1
Info selbst recherchieren,-1
Luft bei anderen Personen auslassen,-1
Mit Kollegen schimpfen,-1
Zeitplan überarbeiten/anpassen,26
Erstmal etwas essen,11
Sport machen,-1
Überstunden schieben,-1
"Mit Kollegen reden, dass die Kommunikation in Zukunft besser wird",-1
Kollegen unterstützen/besseres Arbeiten beibringen,-1
Mit jemanden anderen darüber reden/auslassen,27
Nichts sagen und es abtun/vergessen,9
dem Chef berichten,-1
Etwas leckeres essen gehen,11
Herauszufinden warum er das nicht konnte,-1
Versuchen ihm zu helfen damit es schneller geht,-1
meinen Zeitplan neu strukturieren,26
"Ihn darauf ansprechen, dass mich das ärgert",-1
Um Verlängerung der Zeit bitten,-1
"Mich darauf konzentrieren, dass ich schneller fertig werde",-1
Jemanden suchen der mich unterstützt,21
Kollegen darauf ansprechen,-1
Kollegen zukünftig früher erinnern,-1
sich selbst um die Information kümmern,-1
Kollegen meinen Zeitplan mitteilen,-1
gemeinsam mit dem Kollegen Info heranziehen,-1
Ich rede mit ihm um meinen Ärger auszudrücken,31
Ich meditiere um innere Ruhe zu finden,5
Ich räche mich indem ich nächstes mal das Selbe mache,-1
"Ich bringe ihn dazu, mir beim Aufarbeiten zu helfen",-1
Ich mache ein Nickerchen,5
Ich arbeite mehr um das auszugleichen,-1
"Ich sage ihm, dass ich das nicht ok finde & drohe damit beim nächsten Mal unseren Chef zu informieren",-1
Ich sage meinem Chef dass es nicht meine Schuld ist,33
Ich gehe boxen oder Bäume aufschreiben um Frust abzulassen,-1
Ich bitte drum in Zukunft mit jemand anderes zu arbeiten,-1
Ich suche mir ein neues Unternehmen,17
Ich helfe ihm bei der Bereitstellung.,-1
Ich informiere meinen Vorgesetzten darüber,35
Ich beschwere mich bei meinem Kollegen,32
Ich beschimpfe ihn,-1
Ich über Druck auf ihn aus,31
"Ich frage nach, wie ich ihn unterstützen kann.",-1
Ich arbeite seine Arbeit mit.,-1
Ich schweige darüber.,9
